"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121"
"Time",-10000,-9900,-9800,-9700,-9600,-9500,-9400,-9300,-9200,-9100,-9000,-8900,-8800,-8700,-8600,-8500,-8400,-8300,-8200,-8100,-8000,-7900,-7800,-7700,-7600,-7500,-7400,-7300,-7200,-7100,-7000,-6900,-6800,-6700,-6600,-6500,-6400,-6300,-6200,-6100,-6000,-5900,-5800,-5700,-5600,-5500,-5400,-5300,-5200,-5100,-5000,-4900,-4800,-4700,-4600,-4500,-4400,-4300,-4200,-4100,-4000,-3900,-3800,-3700,-3600,-3500,-3400,-3300,-3200,-3100,-3000,-2900,-2800,-2700,-2600,-2500,-2400,-2300,-2200,-2100,-2000,-1900,-1800,-1700,-1600,-1500,-1400,-1300,-1200,-1100,-1000,-900,-800,-700,-600,-500,-400,-300,-200,-100,0,100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000
"Latium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.300967674931933,0.300186616952006,0.299405558972079,0.298624500992151,0.297843443012224,0.297062385032297,0.29628132705237,0.295500269072443,0.294719211092516,0.293938153112589,0.293157095132661,0.292777286546344,0.292397477960026,0.292017669373709,0.291637860787391,0.291258052201074,0.290878243614756,0.290498435028439,0.290118626442121,0.289738817855804,0.477442365294652,0.47669944132198,0.475956517349308,0.475213593376636,0.474470669403965,0.473727745431293,0.472984821458621,0.472241897485949,0.471498973513277,0.470756049540605,0.470013125567933,0.469032668080189,0.468052210592446,0.467071753104702,0.466091295616958,0.465110838129214,0.46413038064147,0.463149923153726,0.462169465665982,0.461189008178238,0.460208550690495,0.459293793962239,0.458379037233983,0.457464280505727,0.456549523777471,0.455634767049215,0.454720010320959,0.453805253592704,0.452890496864448,0.451975740136192,0.451060983407936,0.4505,0.449939016592064,0.976908767791583,0.975689238643896,0.974469709496209,0.973250180348522,0.972030651200836,0.970811122053149,0.969591592905462,0.968372063757775,0.969723433894401,0.971074804031027,0.972426174167653,0.973777544304279,0.975128914440905,0.976480284577531,0.977831654714157,0.979183024850783,0.980534394987408,0.981885765124034,0.981885765124034,0.981885765124034,0.981885765124034,0.981885765124034,0.981885765124034,1.17826291814884,1.37464007117365,1.57101722419846,1.76739437722326,5.81276372953428
"Paris Basin",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.354402794078443,0.355549834292976,0.35669687450751,0.357843914722044,0.359861713073583,0.361879511425122,0.363897309776661,0.365915108128201,0.36793290647974,0.369950704831279,0.371968503182818,0.373986301534358,0.376004099885897,0.378021898237436,0.378820684549276,0.379619470861116,0.380418257172957,0.381217043484797,0.382015829796637,0.382814616108477,0.383613402420317,0.384412188732157,0.385210975043998,0.386009761355838,0.387139700316953,0.388269639278068,0.389399578239183,0.390529517200299,0.391659456161414,0.392789395122529,0.393919334083644,0.395049273044759,0.396179212005875,0.863715545580412,0.86627546676736,0.868835387954308,0.871395309141256,0.873955230328204,1.1125,1.11574913073728,1.11899826147456,1.12224739221184,1.12549652294912,1.1287456536864,1.13058888892289,1.13243212415938,1.13427535939587,1.13611859463236,1.13796182986885,1.13980506510534,1.14164830034183,1.14349153557832,1.1453347708148,1.14717800605129,1.14767687086563,1.14817573567996,1.1486746004943,1.14917346530864,1.14967233012297,1.15017119493731,1.15067005975164,1.15116892456598,1.54323483776962,1.54390331662083,1.54390331662083,1.54390331662083,1.54390331662083,1.54390331662083,1.54390331662083,1.85268397994499,2.16146464326916,2.47024530659332,2.77902596991749,4.60866661677859
"Iceland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Upper Egypt",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75588450846601,0.756824614607026,0.757764720748041,0.759919130654536,0.762073540561031,0.764227950467526,0.766382360374021,0.768536770280516,0.77069118018701,0.772845590093505,0.775,0.777154409906495,0.77930881981299,0.781365301996462,0.783421784179934,0.785478266363407,0.787534748546879,0.789591230730351,0.791647712913824,0.793704195097296,0.795760677280768,1.316398313116,1.31979150871873,1.32376639499621,1.32774128127369,1.33171616755118,1.33569105382866,1.33966594010614,1.34364082638362,1.34761571266111,1.35159059893859,1.35556548521607,1.35954037149356,1.36238419257013,1.3652280136467,1.36807183472328,1.37091565579985,1.37375947687642,1.37660329795299,1.37944711902957,1.38229094010614,1.38513476118271,1.38797858225929,1.38962670583776,1.39127482941622,1.39292295299469,1.39457107657316,1.39621920015163,1.3978673237301,1.39951544730857,1.40116357088704,1.4028116944655,1.40445981804397,1.40504150871873,1.40562319939348,1.40620489006823,1.40678658074299,1.40736827141774,1.40794996209249,1.40853165276725,1.409113343442,1.40969503411676,1.41027672479151,1.41027672479151,1.41027672479151,1.41027672479151,1.41027672479151,1.41027672479151,1.69233206974981,1.97438741470811,2.25644275966641,2.53849810462472,2.82055344958302
"Niger Inland Delta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.426690218259961,0.428369166584637,0.430048114909312,0.431727063233988,0.433406011558664,0.43508495988334,0.436763908208015,0.438442856532691,0.440121804857367,0.441800753182042,0.443479701506718,0.445819609910238,0.448159518313757,0.450499426717277,0.452839335120797,0.455179243524316,0.457519151927836,0.459859060331356,0.462198968734875,0.464538877138395,0.466878785541915,0.467882081076792,0.468885376611669,0.469888672146547,0.470891967681424,0.471895263216301,0.472898558751179,0.473901854286056,0.474905149820934,0.475908445355811,0.476911740890688,0.476911740890688,0.476911740890688,0.476911740890688,0.476911740890688,0.476911740890688,0.50552644534413,0.534141149797571,0.562755854251012,1.47842639676113,3.09992631578947
"Ghanaian Coast",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.27871733092026,3.25137308036374,3.22402882980721,3.19668457925069,3.16934032869417,12.6075526315789
"Susiana",0,0.00445252777480388,0.00890505554960775,0.0133575833244116,0.0178101110992155,0.0222626388740194,0.0267151666488233,0.0311676944236271,0.035620222198431,0.0400727499732349,0.0445252777480388,0.0493570405903177,0.0542577552630467,0.0592274217662256,0.0642660400998546,0.0693736102639335,0.0745501322584626,0.0797956060834416,0.0851100317388706,0.0904934092247496,0.0959457385410786,0.101343786629181,0.106799050065955,0.1123115288514,0.117881222985516,0.123508132468304,0.129192257299762,0.134933597479893,0.140732153008694,0.146587923886167,0.169276010224665,0.175706055957932,0.182186908920819,0.188718569113326,0.195301036535454,0.201934311187201,0.208618393068569,0.215353282179557,0.222138978520164,0.228975482090392,0.23586279289024,0.236318755207344,0.236774717524447,0.237230679841551,0.237686642158654,0.238142604475757,0.238598566792861,0.239054529109964,0.239510491427068,0.239966453744171,0.240422416061275,0.240396361071726,0.240370306082177,0.240344251092629,0.24031819610308,0.240292141113531,0.240266086123982,0.240240031134434,0.240213976144885,0.240187921155336,0.240161866165787,0.240174893660562,0.240187921155336,0.24020094865011,0.240213976144885,0.240227003639659,0.240240031134434,0.240253058629208,0.355593807463494,0.35561308815576,0.773113845321795,0.773302460789616,0.773491076257436,0.773679691725257,0.773868307193077,0.774056922660898,0.774245538128718,0.774434153596539,0.774622769064359,0.774811384532179,0.775,0.774601811790157,0.774203623580314,0.77380543537047,0.773407247160627,0.773009058950784,0.772610870740941,0.772212682531098,0.771814494321254,0.771416306111411,0.771018117901568,0.771395348837209,0.77177257977285,0.772149810708491,0.772527041644132,0.772904272579773,0.773281503515414,0.773658734451055,0.774035965386695,0.774413196322336,0.774790427257977,0.775251487290427,0.775712547322877,0.776173607355327,0.776634667387777,0.777095727420227,0.777556787452677,0.778017847485127,0.778478907517577,0.778939967550027,0.779401027582477,0.779401027582477,0.779401027582477,0.779401027582477,0.779401027582477,0.779401027582477,0.935281233098972,1.09116143861547,1.24704164413196,1.40292184964846,4.63427638022013
"Konya Plain",0,0,0,0,0.0284952351253446,0.0356190439066807,0.0427428526880169,0.049866661469353,0.0569904702506891,0.0641142790320253,0.0712380878133614,0.0783192767018284,0.0853927165188646,0.0924584072644701,0.0995163489386448,0.106566541541389,0.113608985072702,0.120643679532584,0.127670624921036,0.134689821238057,0.141701268483647,0.148494490277227,0.155259917629798,0.161997550541358,0.168707389011909,0.17538943304145,0.20206848771928,0.209423852933029,0.216748366317257,0.224042027871964,0.231304837597151,0.238441382267713,0.245540919416812,0.252603449044447,0.25962897115062,0.26661748573533,0.273568992798577,0.280483492340361,0.287360984360682,0.29420146885954,0.301004945836934,0.299671517997791,0.298338090158648,0.297004662319505,0.295671234480362,0.294337806641219,0.293004378802075,0.291670950962932,0.290337523123789,0.289004095284646,0.287670667445503,0.286655362676677,0.285640057907851,0.284624753139025,0.283609448370199,0.282594143601373,0.281578838832547,0.280563534063721,0.279548229294895,0.278532924526069,0.277517619757243,0.27637775481648,0.275237889875716,0.274098024934953,0.272958159994189,0.271818295053425,0.270678430112662,0.269538565171898,0.268398700231134,0.267258835290371,0.266118970349607,0.265540493280316,0.264962016211025,0.264383539141734,0.263805062072443,0.263226585003152,0.262648107933861,0.26206963086457,0.261491153795279,0.260912676725988,0.260334199656697,0.26004535429998,0.259756508943263,0.259467663586545,0.383584650980146,0.549747229353163,0.549133872517422,0.54852051568168,0.547907158845938,0.547293802010196,0.546680445174454,0.54687137000767,0.547062294840887,0.547253219674103,0.547444144507319,0.547635069340535,0.547825994173751,0.548016919006967,0.548207843840183,0.548398768673399,0.548589693506615,0.54979133021656,0.550992966926504,0.552194603636449,0.822616032947341,0.82440224967834,0.826188466409339,0.827974683140337,0.829760899871336,0.831547116602335,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,1,1.16666666666667,1.33333333333333,1.5,5.05050505050505
"Yemeni Coastal Plain",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0242939018203906,0.0248732661016563,0.025452630382922,0.0260319946641877,0.0266113589454534,0.0271907232267191,0.0277700875079848,0.0283494517892506,0.0289288160705163,0.029508180351782,0.0300875446330477,0.0301414496386583,0.030195354644269,0.0302492596498796,0.0303031646554903,0.322312887445254,0.322885217983085,0.323457548520917,0.324029879058748,0.324602209596579,0.325174540134411,0.336544358665899,0.347914177197387,0.359283995728876,0.370653814260364,0.382023632791852,0.393393451323341,0.404763269854829,0.416133088386317,0.427502906917806,0.438872725449294,0.468953610799102,0.499034496148909,0.529115381498716,0.559196266848524,0.589277152198331,0.619358037548139,0.649438922897946,0.679519808247754,0.709600693597561,0.739681578947368,0.739681578947368,0.739681578947368,0.739681578947368,0.739681578947368,0.739681578947368,0.887617894736842,1.03555421052632,1.18349052631579,1.33142684210526,1.47936315789474
