Country,Year,Total_km,TFC_PJ_IEA
Afghanistan,2018,44747,
Afghanistan,2021,,
Argentina,2019,204663,2370.333613
Armenia,2018,7575,
Armenia,2019,7630.3,
Armenia,2020,7513.6,
Armenia,2021,7543.2,
Armenia,2022,7543.2,
Armenia,2023,7427,
Australia,2018,877651,3448.326212
Australia,2019,,3409.070206
Australia,2020,,3305.952592
Australia,2021,,3314.036612
Australia,2022,,3326.12346
Australia,2023,1322245,3415.946393
Azerbaijan,2018,19176,
Azerbaijan,2019,74424,
Azerbaijan,2020,77824,
Azerbaijan,2021,78307,
Azerbaijan,2022,78349,
Azerbaijan,2023,78632,
Bahrain,2018,4444,
Bahrain,2019,4731,
Bahrain,2020,4940,
Bahrain,2021,5060,
Bahrain,2022,5273,
Bahrain,2023,5352,
Bangladesh,2018,391657.53,
Bangladesh,2019,416311.18,
Bangladesh,2020,442401.48,
Bangladesh,2021,470706.82,
Bangladesh,2022,501333.82,
Belarus,2018,102534,
Belarus,2019,102776,
Belarus,2020,102961,
Belarus,2021,103358,
Belarus,2022,104125,
Belarus,2023,104036,
Belize,2018,4553.5,
Belize,2019,4561.5,
Belize,2020,4568.3,
Belize,2021,4568.3,
Belize,2022,4568.3,
Belize,2023,5041.54,
Benin,2018,5944.57,
Benin,2019,5944.5,
Benin,2020,5944.5,
Benin,2021,5944.57,
Bermuda,2018,550.9,
Bermuda,2019,550.9,
Bermuda,2020,550.9,
Bhutan,2018,18282,
Bhutan,2019,18264.1,
Bhutan,2020,18264.61,
Bhutan,2021,18469.05,
Bhutan,2022,18127.03,
Bhutan,2023,18343.47,
Bolivia,2018,179613,
Bolivia,2019,187272,
Bolivia,2020,190424,
Bolivia,2021,196071,
Bolivia,2022,199951,
Bolivia,2023,207508,
Bosnia and Herzegovina,2018,10158,
Bosnia and Herzegovina,2019,8733,
Bosnia and Herzegovina,2020,9110,
Bosnia and Herzegovina,2021,9296,
Bosnia and Herzegovina,2022,8850,
Bosnia and Herzegovina,2023,9452,
Botswana,2018,31761.4,
Botswana,2019,32114.7,
Botswana,2020,32562.8,
Botswana,2021,32564.3,
Botswana,2022,32564.8,
Brazil,2018,1563391,9437.704163
Brazil,2019,1563391,9518.692609
Brazil,2020,1563600,9351.730197
Brazil,2021,1563600,9744.44232
Brazil,2022,1563600,10208.476015
British Virgin Islands,2021,113,
British Virgin Islands,2022,113,
British Virgin Islands,2023,113,
Brunei Darussalam,2018,3705.01,
Brunei Darussalam,2019,3709.17,
Brunei Darussalam,2020,3772.34,
Brunei Darussalam,2021,3787.88,
Brunei Darussalam,2022,3805.69,
Brunei Darussalam,2023,3819.55,
Bulgaria,2018,19876,
Bulgaria,2019,19879,
Bulgaria,2020,19917,
Bulgaria,2021,19925,
Bulgaria,2022,19942,
Bulgaria,2023,19968,
Burkina Faso,2018,15310,
Burkina Faso,2019,15272,
Burkina Faso,2020,15272,
Burkina Faso,2021,15272,
Burkina Faso,2022,15272,
Burkina Faso,2023,15272,
Burundi,2018,11514,
Burundi,2019,11514,
Burundi,2020,11513.24,
Cambodia,2018,63072,
Cambodia,2019,63432.4,
Cambodia,2020,64883,
Cambodia,2021,66722.8,
Cambodia,2022,67715,
Cameroon,2018,127956,
Cameroon,2023,121873,
Canada,2019,1126600,8515.371257
Canada,2020,1042718,7863.863008
Cayman Islands,2023,1087,
Central African Republic,2018,24000,
Chad,2018,2284.5,
Chad,2019,2284.5,
Chad,2020,23695,
Chad,2021,23695,
Chad,2022,23695,
Chile,2018,85709.32,1177.1398
Chile,2019,85926.37,1185.285688
Chile,2020,85983.88,1129.690582
Chile,2021,88150.48,1151.648096
Chile,2022,88210.41,1247.52757
Chile,2023,88266.87,1287.632106
China,2018,4846532,86133.063312
China,2019,5012496,87693.162255
China,2020,5198120,89625.062964
China,2021,5280708.08,94737.199481
China,2022,5354837,95814.419264
China,2023,5436845.21,100920.890358
"China, Macao",2018,448.9,
"China, Macao",2019,454.1,
"China, Macao",2020,453.4,
"China, Macao",2021,462.5,
"China, Macao",2022,468.9,
"China, Macao",2023,471.2,
Chinese Taipei,2018,43133.25,
Chinese Taipei,2019,43119.78,
Chinese Taipei,2020,42137.87,
Chinese Taipei,2021,42798.63,
Chinese Taipei,2022,42948.97,
Chinese Taipei,2023,42992.26,
Costa Rica,2018,44315.75,161.552221
Costa Rica,2019,44533,160.469041
Costa Rica,2020,44537,146.433234
Costa Rica,2021,45701,159.382512
Costa Rica,2022,45883,160.541075
Costa Rica,2023,45898,167.186992
Croatia,2018,26690.08,
Croatia,2019,26712.36,
Croatia,2020,26749.13,
Croatia,2021,26411.61,
Croatia,2022,26471.04,
Croatia,2023,26494.94,
Cuba,2018,71138,
Cuba,2019,71145,
Cuba,2020,71147,
Cuba,2021,71147,
Cuba,2022,71138,
Cuba,2023,71138,
Cyprus,2018,13003,
Cyprus,2019,13076,
Cyprus,2020,13153,
Cyprus,2021,13240,
Cyprus,2022,13298,
Cyprus,2023,13402,
Czech Republic,2018,130662.99,1126.158212
Czech Republic,2019,130687.34,1127.132619
Czech Republic,2020,130710.76,1083.150737
Czech Republic,2021,130756.6,1162.873447
Czech Republic,2022,130781.09,1105.429152
Czech Republic,2023,130783.52,1028.695136
Denmark,2018,74784,576.777089
Denmark,2019,74784,563.15248
Denmark,2020,74890,542.782982
Denmark,2021,74948,570.369841
Denmark,2022,74912,535.850152
