 City,Time,Polity,Region,Population (low),Population (high),Population,Area (ha),log N,log A,Density,Sources
Alexandria,330-30 BCE,Ptolamaic Egypt,Mediterranean,300000,500000,400000,1144,5.602059991,3.058426024,350,"McKenzie, Judith. 2011. The Architecture of Alexandria and Egypt, c. 300 BC to AD 700. New Haven: Yale University Press: 34, 179 (N, A). Shipley, Graham. 2014. The Greek World after Alexander 323–30 BC. 2nd ed. New York: Routledge. p. 215 (N)."
Ankor Wat,800-1600 CE,Medieval Cambodia,Southeast Asia,700000,900000,800000,3000,5.903089987,3.477121255,267,"Klassen, Sarah, Alison K Carter, Damian H Evans, Scott Ortman, Miriam T Stark, Alyssa A Loyless, Martin Polkinghorne, et al. 2021. “Diachronic Modeling of the Population within the Medieval Greater Angkor Region Settlement Complex.” Science Advances 7 (19): eabf8441."
Anyang,1250-1050 BCE,Shang China,China,100000,150000,125000,2700,5.096910013,3.431363764,46,"Liu, Li, and Xingcan Chen. 2012. The Archaeology of China: From the Late Paleolithic to the Early Bronze Age. New York: Cambridge University Press. p. 356 (A=2400 ha). Kim, Nam C. 2015. The Origins of Ancient Vietnam. New York: Oxford University Press. Table 9.6, p. 217 (A, N). Primary source for population range is in Chinese and I am unable to investigate further. "
Askum,450-600 CE,Askum,Sub-Saharran Africa,39603,50000,44801.5,180,4.651292555,2.255272505,249,"Connah, Graham. 2016. African Civilizations: An Archaeological Perspective. 3rd ed. New York: Cambridge University Press. p. 142 (N). Curtis, Matthew C. 2017. “Aksum, Town and Monuments.” In Ethiopia: History, Culture and Challenges, edited by Siegbert Uhlig, David Appleyard, Alessandro Bausi, Wolfgang Hahn, and Steven Kaplan. Lansing: Michigan State University Press. p. 106 (N, A)."
Ayutthaya,1500-1600,Kingdom of Ayutthaya (Siam),Southeast Asia,150000,300000,225000,2000,5.352182518,3.301029996,113,"Baker, Chris, and Pasuk Phongpaichit. 2017. A History of Ayutthaya: Siam in the Early Modern World. New York: Cambridge University Press. pp. 182-4 (A, N)"
Babylon,330 BCE,Achaemenid Persia,Near East,50000,100000,75000,890,4.875061263,2.949390007,84,"Ligt, Luuk de. 2013. “Population and Migration.” In The Oxford Handbook of Cities in World History, edited by Peter Clark. Oxford University Press. pp. 149-50 (A, N) citing Boiy, Late Achamenid and Hellenistic Babylon. Morris, Ian. 2006. “The Growth of Greek Cities in the First Millennium BC.” In Urbanism in the Preindustrial World: Cross-Cultural Approaches, edited by Glenn R Storey, 27–51. Tuscaloosa: University of Alabama Press: 49 (A, N)"
Bactra,256-125 BCE,Graco-Bactrian Kingdom,Central Eurasia,,,100000,520,5,2.716003344,192,"Thapar, Romila. 2003. Early India: From the Origins to AD 1300. Los Angeles: University of California Press: 248 (N). Martinez-Seve, Laurianna. 2021. “Afghan Bactria.” In The Graeco-Bactrian and Indo-Greek World, edited by Rachel Mairs, 217–48. New York: Routledge, p. 225. (A)"
Baghdad I,762-800 CE,Abbasid Caliphate,Near East,100000,100000,100000,860,5,2.934498451,116,"Hodges, Richard, and David Whitehouse. 1983. Mohammed, Charlemagne & the Origins of Europe: Archaeology and the Pirenne Thesis. Ithaca: Cornell University Press. p. 128 (A = 547-860 ha). Adams, Robert McC. 1965. Land behind Baghdad: A History of Settlement on the Diyala Plains. Chicago: University of Chicago Press. p. 89 (N); Micheau, Françoise. 2008. “Baghdad in the Abbasid Era: A Cosmopolitan and Multi-Confessional Capital.” In The City in the Islamic World, edited by Salma K. Jayyusi, 1:221–45. Boston: Brill, p. 225 (A = 490-706ha). Visual inspection of map on El-Hibri, Tayeb. 2021. The Abbasid Caliphate: A History. Cambridge University Press. p. xxxi suggests size of 4mi2 ~ 1000ha, so upper limit of estimates used."
Baghdad II,900 CE,Abbasid Caliphate,Near East,300000,500000,400000,4700,5.602059991,3.672097858,85,"Lapidus, Ira M. 2012. Islamic Societies to the Nineteenth Century: A Global History. New York: Cambridge University Press. p. 93 (N). Duri, A. A. 1986. “Baghdad.” In The Encyclopaedia of Islam, edited by H. A. R. Gibb, J. H. Kramers, E. Levi-Provencal, and J. Schacht, 2nd ed., 1:894–908. Leiden: Brill. p. 898."
Baghdad III,1000 CE,Abbasid Caliphate,Near East,300000,1500000,900000,6970,5.954242509,3.843232778,129,"Bulliet, Richard W. 2022. “The Economic Parameters of Baghdād and Its Hinterland.” In Baghdād: From Its Beginnings to the 14th Century, 316–36. Boston: Brill, p. 316 (N, A=7000ha); Micheau, Françoise. 2008. “Baghdad in the Abbasid Era: A Cosmopolitan and Multi-Confessional Capital.” In The City in the Islamic World, edited by Salma K. Jayyusi, 1:221–45. Boston: Brill, pp. 234-5 (N, A=5000 [earlier]-7000 [c 1000]); Adams, Robert McC. 1965. Land behind Baghdad: A History of Settlement on the Diyala Plains. Chicago: University of Chicago Press. p. 89 (A = 4180 [West Baghdad] + 2790 [East Baghdad, non-residential] = 6970)."
