"","NGA","PolName","PolID","Start","End","World.Region","Complexity","Dupl","Language","Genus","Family"
"1","Latium","Latium - Copper Age","ItLatCA",-3600,-1801,"Europe","Early","n","Latin","Romance","Indo-European"
"2","Latium","Latium - Bronze Age","ItLatBA",-1800,-1001,"Europe","Early","n","Latin","Romance","Indo-European"
"3","Latium","Latium - Iron Age","ItLatIA",-1000,-717,"Europe","Early","n","Latin","Romance","Indo-European"
"4","Latium","Roman Kingdom","ItRomRg",-716,-510,"Europe","Early","n","Latin","Romance","Indo-European"
"5","Latium","Roman Republic","ItRomER",-509,-265,"Europe","Early","n","Latin","Romance","Indo-European"
"6","Latium","Middle Roman Republic","ItRomMR",-264,-134,"Europe","Early","n","Latin","Romance","Indo-European"
"7","Latium","Late Roman Republic","ItRomLR",-133,-29,"Europe","Early","n","Latin","Romance","Indo-European"
"8","Latium","Roman Empire - Principate","ItRomPr",-31,283,"Europe","Early","n","Latin","Romance","Indo-European"
"10","Latium","Western Roman Empire - Late Antiquity","ItRomWe",395,457,"Europe","Early","n","Latin","Romance","Indo-European"
"11","Latium","Ostrogothic Kingdom","ItOstrg",493,554,"Europe","Early","n","Latin","Romance","Indo-European"
"12","Latium","Exarchate of Ravenna","ItRav**",568,710,"Europe","Early","n","Latin","Romance","Indo-European"
"13","Latium","Republic of St Peter I","ItStPet",711,903,"Europe","Early","n","Latin","Romance","Indo-European"
"14","Latium","Rome - Republic of St Peter II","ItPapEM",904,1197,"Europe","Early","n","Latin","Romance","Indo-European"
"15","Latium","Papal States - High Medieval Period","ItPapHM",1198,1308,"Europe","Early","n","Latin","Romance","Indo-European"
"16","Latium","Papal States - Renaissance Period","ItPapRn",1378,1526,"Europe","Early","n","Latin","Romance","Indo-European"
"17","Latium","Papal States - Medieval Period I","ItPapM1",1527,1647,"Europe","Early","n","Latin","Romance","Indo-European"
"18","Latium","Papal States - Medieval Period II","ItPapM2",1648,1800,"Europe","Early","n","Latin","Romance","Indo-European"
"19","Paris Basin","Early Bronze Age Beaker Culture","FrBeakr",-3200,-2201,"Europe","Medium","n","FrBeakr","FrBeakr","FrBeakr"
"20","Paris Basin","Atlantic Complex","FrAtlBA",-2200,-1001,"Europe","Medium","n","FrAtlBA","FrAtlBA","FrAtlBA"
"21","Paris Basin","Hallstatt A-B1","FrHallA",-1000,-901,"Europe","Medium","n","FrHallA","FrHallA","FrHallA"
"22","Paris Basin","Hallstatt B2-3","FrHallB",-900,-701,"Europe","Medium","n","FrHallB","FrHallB","FrHallB"
"23","Paris Basin","Hallstatt C","FrHallC",-700,-601,"Europe","Medium","n","FrHallC","FrHallC","FrHallC"
"24","Paris Basin","Hallstatt D","FrHallD",-600,-475,"Europe","Medium","n","FrHallD","FrHallD","FrHallD"
"25","Paris Basin","La Tene A-B1","FrTeneA",-474,-325,"Europe","Medium","n","Gallic","Celtic","Indo-European"
"26","Paris Basin","La Tene B2-C1","FrTeneB",-324,-175,"Europe","Medium","n","Gallic","Celtic","Indo-European"
"27","Paris Basin","La Tene C2-D","FrTeneC",-174,-27,"Europe","Medium","n","Gallic","Celtic","Indo-European"
"31","Paris Basin","Early Merovingian","FrMervE",481,542,"Europe","Medium","n","Latin","Romance","Indo-European"
"32","Paris Basin","Middle Merovingian","FrMervM",543,686,"Europe","Medium","n","Latin","Romance","Indo-European"
"33","Paris Basin","Proto-Carolingian","FrMervL",687,750,"Europe","Medium","n","Latin","Romance","Indo-European"
"34","Paris Basin","Carolingian Empire I","FrCarlE",752,839,"Europe","Medium","n","Latin","Romance","Indo-European"
"35","Paris Basin","Carolingian Empire II","FrCarlL",840,986,"Europe","Medium","n","French","Romance","Indo-European"
"36","Paris Basin","Proto-French Kingdom","FrCaptE",987,1149,"Europe","Medium","n","French","Romance","Indo-European"
"37","Paris Basin","French Kingdom - Late Capetian","FrCaptL",1150,1327,"Europe","Medium","n","French","Romance","Indo-European"
"38","Paris Basin","French Kingdom - Early Valois","FrValoE",1328,1449,"Europe","Medium","n","French","Romance","Indo-European"
"39","Paris Basin","French Kingdom - Late Valois","FrValoL",1450,1588,"Europe","Medium","n","French","Romance","Indo-European"
"40","Paris Basin","French Kingdom - Early Bourbon","FrBurbE",1589,1659,"Europe","Medium","n","French","Romance","Indo-European"
"41","Paris Basin","French Kingdom - Late Bourbon","FrBurbL",1660,1788,"Europe","Medium","n","French","Romance","Indo-European"
"42","Iceland","Icelandic Commonwealth","IsCommw",930,1261,"Europe","Late","n","Old Norse","Germanic","Indo-European"
"43","Iceland","Kingdom of Norway","NorKing",1262,1380,"Europe","Late","n","Old Norse","Germanic","Indo-European"
"44","Crete","Neolithic Crete","GrCrNeo",-7000,-3001,"Europe","Add","n","GrCrNeo","GrCrNeo","GrCrNeo"
"45","Crete","Prepalatial Crete","GrCrPre",-3000,-1901,"Europe","Add","n","GrCrPre","GrCrPre","GrCrPre"
"46","Crete","The Old Palace Crete","GrCrOPa",-1900,-1701,"Europe","Add","n","Minoan","Minoan","Minoan"
"47","Crete","New Palace Crete","GrCrNPa",-1700,-1451,"Europe","Add","n","Minoan","Minoan","Minoan"
"48","Crete","Monopalatial Crete","GrCrMPa",-1450,-1301,"Europe","Add","n","Minoan","Minoan","Minoan"
"49","Crete","Postpalatial Crete","GrCrPPa",-1300,-1201,"Europe","Add","n","Minoan","Minoan","Minoan"
"50","Crete","Final Postpalatial Crete","GrCrFPa",-1200,-1001,"Europe","Add","n","Minoan","Minoan","Minoan"
