"","Variable","ShortName","Section","Subsection","Category","VarNumber"
"1","Polity Population","PolPop","Social Complexity variables","Social Scale","scale",1
"2","Polity territory","PolTerr","Social Complexity variables","Social Scale","scale",2
"3","Population of the largest settlement","CapPop","Social Complexity variables","Social Scale","scale",3
"4","Administrative levels","AdmLev","Social Complexity variables","Hierarchical Complexity","levels",4
"5","Military levels","MilLev","Social Complexity variables","Hierarchical Complexity","levels",5
"6","Religious levels","ReligLev","Social Complexity variables","Hierarchical Complexity","levels",6
"7","Settlement hierarchy","SettlHier","Social Complexity variables","Hierarchical Complexity","levels",7
"8","Professional military officers","ProfOfficer","Social Complexity variables","Professions","government",8
"9","Professional soldiers","ProfSoldier","Social Complexity variables","Professions","government",9
"10","Professional priesthood","ProfPriest","Social Complexity variables","Professions","government",10
"11","Full-time bureaucrats","FullTBur","Social Complexity variables","Bureaucracy characteristics","government",11
"12","Examination system","ExamSyst","Social Complexity variables","Bureaucracy characteristics","government",12
"13","Merit promotion","MeritProm","Social Complexity variables","Bureaucracy characteristics","government",13
"14","Specialized government buildings","GovtBldg","Social Complexity variables","Bureaucracy characteristics","government",14
"15","Courts","Court","Social Complexity variables","Law","government",15
"16","Formal legal code","LegCode","Social Complexity variables","Law","government",16
"17","Judges","Judge","Social Complexity variables","Law","government",17
"18","Professional Lawyers","Lawyer","Social Complexity variables","Law","government",18
"19","irrigation systems","Irrigation","Social Complexity variables","Specialized Buildings: polity owned","infrastruct",19
"20","drinking water supply systems","WaterSuppl","Social Complexity variables","Specialized Buildings: polity owned","infrastruct",20
"21","markets","Market","Social Complexity variables","Specialized Buildings: polity owned","infrastruct",21
"22","food storage sites","FoodStor","Social Complexity variables","Specialized Buildings: polity owned","infrastruct",22
"23","Roads","Road","Social Complexity variables","Specialized Buildings: polity owned","infrastruct",23
"24","Bridges","Bridge","Social Complexity variables","Specialized Buildings: polity owned","infrastruct",24
"25","Canals","Canal","Social Complexity variables","Specialized Buildings: polity owned","infrastruct",25
"26","Ports","Port","Social Complexity variables","Specialized Buildings: polity owned","infrastruct",26
"27","Mines or quarries","Mine","Social Complexity variables","Specialized Buildings: polity owned","infrastruct",27
"28","Couriers","Courier","Social Complexity variables","Other","infrastruct",28
"29","Postal stations","PostStation","Social Complexity variables","Other","infrastruct",29
"30","General postal service","PostService","Social Complexity variables","Other","infrastruct",30
"31","Mnemonic devices","Mnemonic","Social Complexity variables","Information","writing",31
"32","Nonwritten records","NonWRecord","Social Complexity variables","Information","writing",32
"33","Written records","WRecord","Social Complexity variables","Information","writing",33
"34","Script","Script","Social Complexity variables","Information","writing",34
"35","Non-phonetic writing","NonPhWrit","Social Complexity variables","Information","writing",35
"36","Phonetic alphabetic writing","PhAlph","Social Complexity variables","Information","writing",36
"37","Lists tables and classifications","Lists","Social Complexity variables","Information","writing",37
"38","Calendar","Calendar","Social Complexity variables","Information","texts",38
"39","Sacred Texts","SacrTxt","Social Complexity variables","Information","texts",39
"40","Religious literature","ReligLit","Social Complexity variables","Information","texts",40
"41","Practical literature","PractLit","Social Complexity variables","Information","texts",41
"42","History","History","Social Complexity variables","Information","texts",42
"43","Philosophy","Philosophy","Social Complexity variables","Information","texts",43
"44","Scientific literature","SciLit","Social Complexity variables","Information","texts",44
"45","Fiction","Fiction","Social Complexity variables","Information","texts",45
"46","Articles","Article","Social Complexity variables","Other","money",46
"47","Tokens","Token","Social Complexity variables","Other","money",47
"48","Precious metals","PrecMetal","Social Complexity variables","Other","money",48
"49","Foreign coins","ForCoin","Social Complexity variables","Other","money",49
"50","Indigenous coins","IndigCoin","Social Complexity variables","Other","money",50
"51","Paper currency","PaperCurr","Social Complexity variables","Other","money",51
"52","Copper","Copper","Warfare variables","MilTech","MilMetal",52
"53","Bronze","Bronze","Warfare variables","MilTech","MilMetal",53
"54","Iron","Iron","Warfare variables","MilTech","MilMetal",54
"55","Steel","Steel","Warfare variables","MilTech","MilMetal",55
"56","Javelins","Javelin","Warfare variables","MilTech","MilProj",56
"57","Atlatl","Atlatl","Warfare variables","MilTech","MilProj",57
"58","Slings","Sling","Warfare variables","MilTech","MilProj",58
"59","Self bow","SelfBow","Warfare variables","MilTech","MilProj",59
"60","Composite bow","CompBow","Warfare variables","MilTech","MilProj",60
"61","Crossbow","Crossbow","Warfare variables","MilTech","MilProj",61
"62","Tension siege engines","TensSiege","Warfare variables","MilTech","MilProj",62
"63","Sling siege engines","SlingSiege","Warfare variables","MilTech","MilProj",63
"64","Gunpowder siege artillery","Artillery","Warfare variables","MilTech","MilProj",64
"65","Handheld firearms","HandGun","Warfare variables","MilTech","MilProj",65
"66","War clubs","WarClub","Warfare variables","MilTech","Weapon",66
"67","Battle axes","BattleAxe","Warfare variables","MilTech","Weapon",67
"68","Daggers","Dagger","Warfare variables","MilTech","Weapon",68
"69","Swords","Sword","Warfare variables","MilTech","Weapon",69
"70","Spears","Spear","Warfare variables","MilTech","Weapon",70
"71","Polearms","Polearm","Warfare variables","MilTech","Weapon",71
"72","Dogs","Dog","Warfare variables","MilTech","MilAnimal",72
"73","Donkeys","Donkey","Warfare variables","MilTech","MilAnimal",73
"74","Horses","Horse","Warfare variables","MilTech","MilAnimal",74
"75","Camels","Camel","Warfare variables","MilTech","MilAnimal",75
"76","Elephants","Elephant","Warfare variables","MilTech","MilAnimal",76
"77","Other","Other","Warfare variables","MilTech","MilAnimal",77
"78","Wood bark etc","WoodArmor","Warfare variables","MilTech","Armor",78
"79","Leather cloth","LeathArmor","Warfare variables","MilTech","Armor",79
"80","Shields","Shield","Warfare variables","MilTech","Armor",80
"81","Helmets","Helmet","Warfare variables","MilTech","Armor",81
"82","Breastplates","Breastplate","Warfare variables","MilTech","Armor",82
"83","Limb protection","LimbProt","Warfare variables","MilTech","Armor",83
"84","Chainmail","Chainmail","Warfare variables","MilTech","Armor",84
